fighter_name,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,ufc_wins,ufc_losses,ufc_kos,ufc_submissions,td_acc_float,td_def_float,win_rate,ko_rate,sub_rate,striking_eff,grappling
Phil Johns,30,14,1,1.2,66.0,1.8,50%,0.0,0%,50%,0.0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,0.631578947368421,0.0
Iliarde Santos,30,13,1,3.0,30.0,6.1,57%,1.66,23%,83%,0.0,0,3,0,0,0.23,0.83,0.0,0.0,0.0,0.48387096774193555,0.03910000000000001
Sean Strickland,30,7,0,6.04,42.0,4.57,60%,0.71,64%,76%,0.2,17,7,5,1,0.64,0.76,0.7083333038194456,0.2941176297577865,0.05882352595155729,1.2933618843683083,0.1536
Michael Bisping,30,9,0,4.33,38.0,2.71,65%,1.05,43%,63%,0.3,20,9,10,0,0.43,0.63,0.689655148632581,0.4999999750000012,0.0,1.5409252669039146,0.1591
Aaron Riley,30,14,1,3.45,34.0,3.78,61%,1.18,34%,60%,0.1,3,6,0,0,0.34,0.6,0.33333329629630043,0.0,0.0,0.8891752577319588,0.136
Alexandre Pantoja,30,6,0,4.38,50.0,3.88,49%,2.79,47%,69%,1.0,14,4,2,6,0.47,0.69,0.7777777345679036,0.14285713265306196,0.42857139795918586,1.100502512562814,0.14570000000000002
Dustin Poirier,30,10,0,5.24,50.0,4.57,52%,1.15,35%,64%,1.2,22,9,10,4,0.35,0.64,0.7096773964620194,0.4545454338842984,0.18181817355371938,1.1220556745182013,0.126
Steven Siler,29,16,0,3.21,41.0,2.96,54%,0.47,21%,55%,1.6,5,4,1,1,0.21,0.55,0.5555554938271674,0.199999960000008,0.199999960000008,1.0490196078431373,0.09449999999999999
Khabib Nurmagomedov,29,0,0,4.1,48.0,1.75,65%,5.32,48%,84%,0.8,13,0,2,5,0.48,0.84,0.9999999230769291,0.15384614201183525,0.3846153550295881,2.216216216216216,0.07680000000000001
Drew Dober,29,15,0,4.48,41.0,4.33,53%,0.61,16%,58%,0.1,15,11,11,1,0.16,0.58,0.5769230547337286,0.7333332844444478,0.06666666222222252,1.0112866817155757,0.06720000000000001
Brian Gassaway,29,20,2,0.34,26.0,3.65,44%,0.0,0%,42%,0.0,0,1,0,0,0.0,0.42,0.0,0.0,0.0,0.09066666666666667,0.0
