Nome,Vitorias,Derrotas,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Yasuhito Namekawa,25,16,4,0.14,50.0,3.65,38%,2.11,25%,0%,4.2
Dustin Neace,25,21,1,2.08,32.0,2.66,56%,0.0,0%,0%,1.7
Dave Strasser,25,8,0,3.04,45.0,1.88,59%,0.72,33%,33%,0.0
Victor Henry,25,7,0,7.17,53.0,5.19,48%,1.04,42%,81%,0.3
Aljamain Sterling,25,5,0,4.45,52.0,2.21,59%,2.45,30%,44%,0.6
Jutaro Nakao,25,19,4,0.53,38.0,1.06,44%,0.38,50%,56%,0.0
Kazuo Misaki,25,11,2,2.85,40.0,2.74,63%,0.72,38%,51%,0.6
Kotetsu Boku,25,11,2,2.47,42.0,2.8,53%,0.0,0%,0%,0.0
Pete Spratt,25,23,0,1.63,48.0,1.33,55%,0.3,100%,46%,0.3
Yuki Sasaki,25,22,2,1.09,43.0,1.2,57%,0.43,100%,66%,0.0
Rob Kimmons,25,9,0,1.86,48.0,4.79,38%,2.08,46%,25%,2.4
Andre Fili,25,12,0,3.87,37.0,4.23,51%,2.22,45%,71%,0.2
Deiveson Figueiredo,25,6,1,2.63,53.0,3.47,49%,1.61,35%,57%,1.2
Chidi Njokuani,25,12,0,5.16,61.0,3.32,57%,0.0,0%,75%,0.1
Ryan Healy,25,14,1,1.67,35.0,3.0,38%,3.0,50%,40%,1.0
Jason MacDonald,25,16,0,1.55,52.0,2.7,46%,1.43,16%,35%,2.0
Mateusz Gamrot,25,4,0,3.29,51.0,2.96,59%,5.15,37%,83%,0.1
Victor Hugo,25,5,0,3.27,44.0,2.95,56%,0.81,33%,73%,1.2
Yan Qihui,25,5,0,4.38,46.0,5.06,54%,3.68,69%,62%,0.0
Kai Kara-France,25,12,0,4.46,40.0,3.24,64%,0.56,30%,83%,0.0
Ivan Menjivar,25,12,0,2.78,37.0,2.76,65%,0.56,28%,38%,1.0
Brandon Melendez,25,25,0,0.84,26.0,0.56,63%,0.0,0%,25%,0.0
Brad Pickett,25,14,0,3.02,31.0,4.63,55%,2.47,44%,58%,0.4
Anatoly Tokov,25,2,0,3.51,72.0,0.54,66%,2.03,100%,100%,0.0
Kazunori Yokota,25,7,3,0.67,31.0,1.13,57%,0.0,0%,0%,0.0
Michael Johnson,25,20,0,4.27,39.0,3.78,58%,0.57,38%,81%,0.0
Dan Hardy,25,10,0,2.46,35.0,3.44,51%,0.73,35%,35%,0.4
Rodney Faverus,25,20,3,2.3,53.0,1.6,54%,4.5,100%,25%,0.0
Igor Araujo,25,9,0,1.52,42.0,2.86,49%,0.86,15%,22%,0.6
Zak Cummings,25,7,0,2.96,35.0,2.91,55%,0.62,28%,66%,0.6
Tom Sauer,25,12,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Tommy Lee,25,6,0,0.0,0.0,0.3,75%,4.57,33%,0%,0.0
Jorge Santiago,25,12,0,1.69,35.0,2.62,56%,0.58,30%,52%,0.8
Roxanne Modafferi,25,21,0,3.35,30.0,5.7,51%,1.35,23%,30%,0.1
Daniel Straus,24,7,0,4.76,43.0,2.99,57%,0.84,15%,81%,1.1
Eddie Wineland,24,16,1,3.4,29.0,3.76,68%,0.34,33%,86%,0.1
Chase Beebe,24,13,1,2.17,38.0,1.64,69%,2.49,42%,41%,0.9
Greg Rebello,24,8,0,2.61,39.0,2.92,58%,0.0,0%,0%,0.0
Israel Adesanya,24,5,0,4.02,48.0,3.2,55%,0.05,11%,76%,0.1
Benson Henderson,24,7,0,2.93,45.0,1.79,63%,2.4,45%,63%,0.8
David Bielkheden,24,12,0,1.11,57.0,1.64,54%,2.65,63%,14%,0.0
Krzysztof Jotko,24,6,0,2.98,42.0,2.23,57%,1.33,39%,82%,0.1
Fabricio Werdum,24,9,1,3.59,52.0,2.64,55%,1.75,31%,31%,1.2
Nick Agallar,24,6,0,0.69,11.0,4.56,42%,0.0,0%,0%,0.0
Jack Hermansson,24,10,0,5.15,45.0,3.72,56%,1.48,29%,80%,0.4
Wes Sims,24,14,1,0.98,51.0,2.95,37%,0.0,0%,40%,2.3
Alex Morono,24,13,0,4.9,39.0,4.88,55%,0.32,24%,47%,0.3
Riki Fukuda,24,9,0,4.24,43.0,3.71,64%,2.17,43%,70%,0.0
Michael Page,24,3,0,2.39,60.0,1.68,57%,0.23,16%,66%,0.0
Spencer Fisher,24,9,0,3.17,43.0,3.03,64%,0.67,30%,60%,0.8
Kestutis Smirnovas,24,8,2,4.95,52.0,5.05,54%,1.55,50%,100%,1.6
Anton Kuivanen,24,10,0,2.27,38.0,1.63,67%,1.2,100%,71%,0.4
Ludovit Klein,24,5,1,3.76,53.0,3.48,53%,1.37,51%,76%,0.0
John Maguire,24,9,0,1.41,41.0,2.44,65%,2.8,46%,77%,1.1
Lyoto Machida,24,8,0,2.59,53.0,1.57,61%,1.21,65%,75%,0.4
Siyar Bahadurzada,24,8,1,2.91,40.0,3.23,49%,1.32,61%,62%,0.3
Rustam Khabilov,24,4,0,1.98,34.0,2.16,65%,3.95,41%,61%,0.1
Belal Muhammad,24,5,0,4.43,43.0,3.82,55%,2.14,36%,90%,0.1
Andre Muniz,24,8,0,2.08,48.0,2.46,51%,3.98,48%,35%,1.1
Ryuta Sakurai,24,24,6,1.8,48.0,3.44,58%,0.52,100%,36%,1.6
Chris Camozzi,24,13,0,3.57,44.0,2.96,56%,0.27,19%,57%,0.5
Amar Suloev,24,7,0,1.98,37.0,2.19,70%,0.27,100%,88%,0.3
Edson Barboza,24,14,0,4.14,44.0,4.68,55%,0.43,50%,73%,0.1
Hermes Franca,24,17,0,1.78,39.0,2.85,55%,1.53,36%,37%,2.4
Karo Parisyan,24,11,0,2.49,41.0,2.19,58%,5.27,59%,59%,1.0
Lyle Beerbohm,24,3,0,1.98,55.0,1.61,54%,2.1,23%,64%,0.3
Alexander Yakovlev,24,10,1,1.74,47.0,2.41,58%,1.66,35%,72%,0.1
Nicolas Dalby,24,6,1,3.88,43.0,3.51,52%,0.9,26%,59%,0.1
Katsunori Kikuno,24,8,2,2.64,40.0,2.47,61%,1.88,75%,76%,0.8
Brian Kelleher,24,16,0,3.31,41.0,4.59,54%,1.68,41%,60%,0.7
Steve Kennedy,24,8,0,2.28,35.0,5.52,45%,2.51,33%,0%,0.0
John Howard,24,13,0,2.15,50.0,3.08,51%,2.7,49%,53%,0.4
Dan Hooker,24,14,0,4.82,48.0,4.94,49%,0.68,33%,77%,0.6
Dominick Cruz,24,4,0,3.91,33.0,2.61,70%,2.82,42%,83%,0.1
Rinat Fakhretdinov,24,1,1,5.03,52.0,3.61,54%,3.91,34%,91%,0.2
Yibugele,24,13,1,2.87,41.0,5.5,54%,0.0,0%,81%,0.0
Kerry Schall,24,13,0,0.94,11.0,4.84,63%,0.0,0%,0%,0.0
Dmitry Poberezhets,24,5,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Damir Ismagulov,24,3,0,3.36,42.0,2.44,61%,1.0,28%,70%,0.0
Ronald Jhun,24,26,2,1.45,57.0,3.01,50%,1.81,100%,100%,0.0
Anthony Pettis,24,10,0,3.05,47.0,3.44,54%,0.61,50%,60%,1.1
Brendan Seguin,23,19,1,2.6,45.0,0.6,84%,5.0,62%,100%,0.0
Paul Bradley,23,8,0,2.26,32.0,4.13,56%,1.12,16%,100%,0.0
Zhang Lipeng,23,9,1,1.28,48.0,1.88,53%,1.75,30%,69%,0.8
Hacran Dias,23,6,1,2.08,41.0,3.31,55%,2.5,39%,76%,0.5
Brett Cooper,23,12,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Asu Almabayev,23,3,0,2.31,50.0,1.99,53%,4.46,42%,44%,1.5
Paulo Filho,23,6,3,1.86,48.0,1.67,66%,2.4,32%,42%,1.6
Marloes Coenen,23,8,0,2.15,51.0,1.9,67%,0.82,30%,41%,2.5
Marlon Moraes,23,10,1,3.37,40.0,4.53,54%,0.87,41%,46%,0.3
Court McGee,23,14,0,4.5,36.0,3.65,60%,1.78,24%,70%,0.5
Chris Barnett,23,10,0,3.36,47.0,6.55,36%,0.0,0%,35%,0.0
Jussier Formiga,23,8,0,1.42,39.0,2.34,64%,1.82,35%,87%,0.6
Anthony Lapsley,23,7,0,0.53,34.0,0.58,66%,0.0,0%,20%,0.0
Carlos Leal,23,7,0,8.75,47.0,7.78,48%,0.43,11%,90%,0.0
Derek Brunson,23,9,0,3.51,47.0,3.05,51%,3.14,33%,85%,0.6
Chuck Grigsby,23,10,0,0.71,16.0,3.29,46%,0.0,0%,66%,0.0
Jesse Sanders,23,7,0,0.0,0.0,6.45,35%,0.0,0%,50%,0.0
Kendall Grove,23,17,0,2.31,41.0,2.4,54%,0.49,45%,56%,1.7
Frankie Edgar,23,11,1,3.77,40.0,2.82,65%,2.29,31%,65%,0.3
Vinicius Oliveira,23,4,0,4.73,43.0,2.7,57%,1.45,46%,70%,0.2
Rodolfo Marques Diniz,23,9,1,1.08,32.0,2.36,33%,0.0,0%,50%,1.8
Moise Rimbon,23,11,3,0.8,34.0,1.0,71%,1.0,50%,37%,0.0
Carlos Prates,23,7,0,3.77,55.0,4.53,47%,0.21,100%,80%,0.0
Balajin,23,4,0,1.4,33.0,2.73,50%,2.0,20%,66%,0.0
Jin Bala,23,3,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Jong Man Kim,23,11,3,1.33,21.0,3.0,60%,0.0,0%,0%,0.0
Jesse Juarez,23,12,0,1.71,48.0,2.87,52%,2.69,33%,50%,0.0
Jordan Radev,23,5,0,1.35,23.0,2.38,66%,0.0,0%,80%,0.0
Gabriel Benitez,23,13,0,5.26,41.0,4.49,63%,0.22,50%,55%,0.9
Juan Puerta,23,6,0,1.27,39.0,1.27,67%,1.0,100%,0%,0.0
Arman Tsarukyan,23,3,0,3.85,50.0,1.8,54%,3.26,37%,75%,0.1
Beneil Dariush,23,7,1,3.78,49.0,2.62,57%,2.11,38%,82%,0.8
Jack Marshman,23,10,0,2.74,25.0,4.19,56%,0.0,0%,20%,0.0
Kajan Johnson,23,13,1,2.47,42.0,1.59,64%,1.54,37%,62%,0.2
Dricus Du Plessis,23,3,0,5.18,48.0,4.33,52%,2.22,51%,34%,0.7
Brandon Moreno,23,10,2,3.84,44.0,3.64,59%,1.36,39%,65%,0.4
Kuniyoshi Hironaka,23,9,0,1.98,40.0,3.01,54%,1.91,30%,25%,0.6
Bruno Silva,23,13,0,3.86,48.0,5.35,41%,0.77,22%,74%,0.0
Thiago Alves,23,15,0,3.73,41.0,3.42,62%,0.71,60%,63%,0.3
Paddy Pimblett,23,4,0,5.49,52.0,3.89,42%,0.69,21%,44%,1.2
Joel Alvarez,23,3,0,4.78,55.0,3.07,54%,0.19,33%,47%,1.1
Frank Shamrock,23,10,2,4.75,53.0,4.66,57%,0.35,50%,37%,1.1
Norman Parke,23,6,1,3.06,35.0,2.88,64%,1.98,26%,77%,0.0
Julio Paulino,23,5,0,0.97,27.0,1.87,48%,0.0,0%,37%,0.5
Patrick Cote,23,11,0,2.81,48.0,3.21,48%,0.68,20%,43%,0.2
Damon Jackson,23,8,1,2.96,42.0,3.47,49%,2.3,32%,37%,1.2
Desmond Green,23,8,0,3.7,46.0,2.51,69%,1.62,50%,75%,0.0
Wilson Reis,23,10,0,1.83,29.0,3.04,55%,5.15,42%,47%,0.6
Amanda Nunes,23,5,0,4.55,51.0,2.62,57%,2.73,54%,82%,0.7
Tony Gravely,23,9,0,3.82,48.0,4.47,44%,5.4,41%,52%,0.3
Akbarh Arreola,23,11,1,2.32,45.0,4.01,56%,1.07,100%,33%,0.4
Jay Hieron,23,7,0,1.66,32.0,1.89,61%,4.05,60%,66%,1.0
Vicente Luque,23,12,1,4.83,51.0,5.3,51%,0.9,48%,60%,0.7
Javier Reyes,23,5,0,8.91,55.0,2.53,47%,2.0,50%,50%,0.0
Jonathan Goulet,23,12,0,1.61,41.0,2.01,46%,4.17,70%,45%,0.6
Joachim Hansen,23,14,1,2.01,43.0,2.04,58%,2.21,58%,34%,1.9
Gerald Harris,23,5,0,1.41,29.0,1.58,62%,2.96,54%,72%,0.0
Gary Goodridge,23,22,1,1.84,56.0,2.14,48%,0.4,100%,53%,0.8
Roger Huerta,23,9,1,3.64,36.0,2.33,56%,2.13,46%,52%,0.5
LC Davis,23,8,0,2.04,30.0,2.1,59%,2.27,46%,66%,0.2
Dennis Siver,23,11,0,3.87,32.0,2.67,65%,0.87,32%,65%,0.3
Jason Black,23,4,1,1.06,47.0,2.6,45%,0.48,33%,28%,6.2
Terry Martin,23,11,0,2.82,43.0,3.13,54%,3.1,42%,92%,0.0
Takeshi Inoue,23,10,0,2.54,44.0,3.32,61%,0.0,0%,47%,0.0
David Loiseau,23,11,0,1.59,44.0,3.64,43%,0.43,42%,36%,0.1
Marlon Vera,23,12,1,4.18,47.0,5.34,50%,0.47,39%,71%,0.8
Fabio Maldonado,23,11,0,5.29,58.0,4.31,53%,0.44,57%,61%,0.6
Stevie Ray,23,9,0,3.73,44.0,2.93,54%,0.75,46%,55%,0.6
Jimmie Rivera,23,5,0,4.03,40.0,3.9,60%,0.88,27%,92%,0.1
Khusein Askhabov,23,1,0,2.0,26.0,4.13,56%,0.0,0%,66%,0.0
Ryan Bader,23,5,0,2.82,43.0,1.39,71%,3.37,44%,80%,0.4
Jared Gooden,23,10,0,4.4,48.0,6.74,45%,0.91,45%,65%,0.4
Michael Chandler,23,10,0,4.04,49.0,4.52,43%,1.96,41%,61%,0.6
Marcin Held,23,7,0,1.41,34.0,2.02,47%,2.46,46%,37%,1.3
Jason Miller,23,10,0,1.83,43.0,2.3,49%,1.31,28%,43%,1.3
Calvin Kattar,23,10,0,4.41,37.0,6.55,54%,0.34,29%,77%,0.1
Grant Dawson,23,3,1,3.21,52.0,2.13,44%,3.81,39%,57%,1.1
Aleksander Emelianenko,23,7,0,2.75,41.0,1.7,65%,2.32,72%,66%,0.9
Alejandro Perez,23,9,1,3.45,35.0,3.18,61%,0.54,22%,70%,0.3
Ryan Spann,23,11,0,3.19,39.0,4.14,43%,1.3,34%,52%,1.8
Joe Taimanglo,23,7,1,4.18,42.0,4.55,59%,5.45,40%,100%,1.4
Marcos Vinicius,23,11,1,1.93,49.0,2.91,47%,0.0,0%,25%,0.5
Rogerio Nogueira,23,10,0,2.43,35.0,2.34,59%,0.64,44%,62%,0.8
David Branch,22,6,0,1.66,39.0,1.91,56%,2.55,32%,43%,0.0
Josh Thomson,22,9,0,2.59,47.0,2.12,64%,1.92,39%,54%,1.3
Chris Gutierrez,22,7,2,4.4,57.0,2.65,63%,0.3,30%,67%,0.1
Diego Brandao,22,11,0,2.94,47.0,3.38,62%,3.21,68%,80%,0.6
Conor McGregor,22,6,0,5.32,49.0,4.66,54%,0.67,55%,66%,0.1
Nate Diaz,22,13,0,4.57,45.0,3.77,52%,1.05,30%,41%,1.3
John Dodson,22,12,0,3.2,40.0,3.58,61%,0.71,28%,82%,0.0
Rob Font,22,10,0,5.11,45.0,3.53,57%,0.7,29%,37%,0.3
Masanori Suda,22,11,3,1.8,50.0,1.2,63%,0.0,0%,60%,0.0
Ibragim Magomedov,22,8,1,0.26,4.0,3.86,42%,0.0,0%,0%,0.0
Thomas Almeida,22,5,0,4.84,43.0,4.93,61%,0.17,14%,75%,0.0
Ryo Chonan,22,13,0,2.57,43.0,2.25,60%,0.61,41%,39%,0.3
David Hulett,22,10,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Marcos Rogerio de Lima,22,10,1,3.7,57.0,2.9,51%,1.4,45%,59%,0.5
Saygid Izagakhmaev,22,3,0,1.33,58.0,1.73,58%,4.0,40%,100%,0.0
Muslim Salikhov,22,6,0,3.37,49.0,2.96,62%,1.07,32%,72%,0.0
Dustin Jacoby,22,9,1,5.4,48.0,3.92,57%,0.32,25%,62%,0.0
Song Yadong,22,9,1,4.42,43.0,3.94,55%,0.78,39%,73%,0.1
Frank Camacho,22,10,0,6.56,46.0,7.44,51%,1.11,31%,73%,0.0
Dong Hyun Kim,22,4,1,2.12,49.0,1.89,58%,2.93,43%,71%,0.6
Marcus Aurelio,22,10,0,1.42,33.0,2.27,59%,1.69,27%,27%,1.3
Mike Kyle,22,14,1,3.93,51.0,3.35,49%,1.33,62%,50%,0.8
Gilbert Burns,22,9,0,3.15,48.0,3.64,52%,2.12,37%,53%,0.5
Song Kenan,22,9,0,4.49,46.0,5.82,51%,0.42,30%,73%,0.0
Phil Harris,22,12,0,2.34,26.0,3.16,68%,1.76,21%,60%,0.0
Tim Elliott,22,13,1,3.37,44.0,2.65,57%,3.71,47%,59%,1.1
Gilbert Melendez,22,8,0,3.44,33.0,2.53,63%,1.64,41%,71%,0.2
Jason Dent,22,13,0,2.01,39.0,3.7,62%,0.0,0%,26%,1.4
Diego Saraiva,22,20,1,1.64,32.0,3.58,62%,1.33,40%,0%,0.7
Jadson Costa,22,8,0,0.2,50.0,3.05,50%,0.0,0%,0%,0.0
Leon Edwards,22,6,0,2.6,54.0,2.44,52%,1.25,37%,63%,0.4
Virna Jandiroba,22,4,0,2.33,41.0,2.9,55%,2.85,37%,74%,1.5
Alex Oliveira,22,12,1,2.99,51.0,2.55,46%,2.35,38%,63%,0.6
Kurt Holobaugh,22,10,0,4.58,44.0,4.24,49%,0.65,33%,38%,0.8
Jailton Almeida,22,5,0,2.23,62.0,1.3,43%,5.64,55%,60%,1.7
Johnny Walker,22,9,0,4.06,55.0,3.09,45%,0.42,60%,57%,0.8
Jake Matthews,22,8,0,3.34,43.0,2.62,60%,1.44,41%,64%,0.8
Chris Leben,22,11,0,2.87,42.0,2.87,52%,1.14,41%,53%,0.8
Hans Stringer,22,8,3,3.16,61.0,2.84,41%,2.4,36%,62%,0.0
Tofiq Musayev,22,6,0,0.44,33.0,0.44,71%,0.0,0%,40%,0.0
Ricky Simon,22,7,0,3.04,43.0,3.85,61%,4.66,41%,76%,0.3
Soa Palelei,22,5,0,2.47,57.0,2.68,48%,2.2,47%,66%,0.0
Daniel Cormier,22,3,0,4.25,52.0,2.92,54%,1.83,44%,80%,0.4
Roy Nelson,22,14,0,2.18,36.0,4.79,46%,1.14,27%,65%,0.1
Matt Bessette,22,9,0,4.36,41.0,4.45,58%,0.64,28%,61%,0.3
Manel Kape,22,7,0,5.04,56.0,4.08,57%,0.4,30%,81%,0.3
Tom Niinimaki,22,8,1,1.91,54.0,2.31,58%,2.97,46%,33%,0.5
Kyle Noke,22,10,1,3.23,50.0,2.09,64%,1.53,54%,66%,0.8
David Mitchell,22,7,0,1.74,32.0,2.06,55%,0.66,50%,29%,2.0
Michal Oleksiejczuk,22,9,0,5.85,53.0,4.5,59%,1.02,42%,52%,0.0
Derrick Krantz,22,12,0,2.07,37.0,4.03,50%,3.18,50%,0%,0.8
Nathaniel Wood,22,6,0,5.74,52.0,4.32,54%,1.46,50%,73%,0.5
Jamall Emmers,22,8,0,5.1,49.0,3.92,57%,2.59,53%,81%,0.3
Ben Saunders,22,13,2,3.23,50.0,3.58,51%,0.2,40%,66%,1.3
Alexandre Barros,22,11,0,0.98,40.0,4.05,36%,1.84,50%,100%,0.0
Pat Curran,22,7,0,4.7,58.0,4.4,63%,2.5,62%,66%,0.0
Johnny Case,22,6,0,3.95,38.0,2.66,61%,1.7,45%,72%,0.2
Ricky Glenn,22,9,2,3.79,42.0,4.3,51%,0.72,13%,69%,0.4
Ruben Villareal,22,28,3,5.18,53.0,4.86,35%,0.0,0%,0%,0.0
Cody Gibson,22,12,0,3.63,46.0,3.22,57%,2.12,37%,69%,0.6
Matt Lindland,22,9,0,2.62,50.0,1.56,52%,3.01,48%,60%,1.3
Dave Herman,22,6,0,4.98,60.0,3.78,48%,1.49,100%,58%,0.0
Del Hawkins,22,17,0,1.15,27.0,2.01,46%,0.0,0%,0%,0.0
Marcus Davis,22,11,0,2.72,39.0,2.79,65%,1.6,48%,47%,1.4
Allan Nascimento,22,6,0,3.06,55.0,2.53,52%,1.26,23%,37%,1.1
John Phillips,22,11,0,1.72,34.0,4.03,49%,0.0,0%,7%,0.0
Takafumi Otsuka,22,13,2,1.29,27.0,2.12,67%,1.64,27%,65%,0.0
Thiago Santos,22,11,0,3.72,48.0,2.57,53%,0.88,33%,65%,0.1
Jason Brilz,22,6,1,2.66,40.0,1.78,65%,2.37,25%,25%,1.3
Marcus LeVesseur,22,7,0,2.55,64.0,3.7,37%,3.89,36%,83%,0.6
Anthony Johnson,22,6,0,3.25,47.0,1.83,60%,2.43,57%,77%,0.6
Junior Dos Santos,21,9,0,4.49,47.0,3.33,56%,0.3,50%,81%,0.1
Anderson Dos Santos,21,9,0,2.7,25.0,5.37,49%,0.98,14%,66%,0.7
Omari Akhmedov,21,6,1,2.97,34.0,2.84,55%,2.58,45%,65%,0.2
Jeremy Lang,21,2,0,1.13,50.0,1.41,42%,4.22,60%,0%,4.2
James Zikic,21,10,2,1.47,35.0,1.6,44%,0.5,25%,74%,0.5
Raoni Barcelos,21,5,0,4.92,51.0,4.4,61%,2.22,31%,87%,0.6
Jason High,21,6,0,1.28,42.0,1.56,48%,2.36,63%,37%,2.8
Tomasz Drwal,21,5,1,3.29,38.0,2.26,57%,3.55,60%,82%,0.4
Taylor Lapilus,21,4,0,4.59,48.0,2.61,62%,0.27,33%,77%,0.3
Joao Zeferino,21,9,0,0.83,36.0,2.6,48%,0.5,5%,50%,1.0
Yair Rodriguez,21,6,0,4.65,46.0,3.78,52%,0.71,29%,59%,0.6
Marc Stevens,21,10,0,0.45,26.0,1.79,46%,0.0,0%,0%,0.0
Roan Carneiro,21,11,0,1.46,46.0,1.82,62%,3.05,42%,83%,1.4
Rafael Natal,21,9,1,3.1,47.0,2.48,57%,2.55,34%,77%,0.5
Tyson Nam,21,14,1,3.87,33.0,4.97,65%,0.0,0%,87%,0.0
Evangelista Santos,21,18,0,3.94,36.0,6.01,49%,0.78,100%,50%,0.4
Bryan Caraway,21,9,0,2.53,34.0,3.61,54%,2.57,25%,80%,0.8
Chris Brennan,21,13,1,0.6,40.0,0.97,50%,0.0,0%,25%,2.1
Benji Radach,21,7,0,2.62,49.0,2.31,51%,1.06,41%,71%,0.4
Mac Danzig,21,12,1,3.39,48.0,3.44,57%,1.2,37%,46%,0.6
Goiti Yamauchi,21,3,0,1.66,54.0,1.01,66%,0.0,0%,0%,4.3
Alexis Davis,21,11,0,4.63,49.0,4.45,54%,0.95,44%,34%,0.7
Frank Trigg,21,9,0,2.79,46.0,1.9,56%,2.35,47%,75%,0.8
Reynaldo Trujillo,21,19,0,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Alex Caceres,21,15,0,4.21,49.0,3.09,62%,0.54,68%,64%,0.7
Magomed Ankalaev,21,2,1,3.65,52.0,2.59,56%,0.79,22%,87%,0.0
Jesse Ronson,21,12,0,3.54,47.0,3.39,57%,0.46,28%,57%,0.5
Steve Berger,21,23,2,1.0,27.0,3.26,36%,0.84,40%,16%,1.7
Johnny Bedford,21,13,1,4.53,50.0,1.75,63%,1.83,62%,62%,0.0
Chuck Liddell,21,8,0,2.97,35.0,2.71,56%,0.44,75%,81%,0.0
Cody Stamann,21,8,1,4.32,46.0,3.91,60%,2.17,37%,76%,0.0
Lyman Good,21,6,0,5.34,48.0,4.01,63%,0.27,100%,75%,0.0
Danny Martinez,21,8,0,2.73,28.0,3.77,63%,3.0,45%,36%,0.0
Hiroyuki Takaya,21,14,2,3.18,33.0,3.16,60%,0.9,45%,66%,0.0
Andre Winner,21,11,2,2.52,33.0,4.57,51%,0.0,0%,74%,0.0
Kai Asakura,21,6,0,2.27,32.0,3.53,52%,0.0,0%,50%,0.0
Pat Sabatini,21,5,0,1.69,59.0,1.09,50%,4.48,50%,50%,1.5
Seichi Ikemoto,21,19,5,2.59,32.0,3.74,57%,1.23,26%,60%,0.0
Morgan Charriere,21,12,1,4.02,50.0,4.51,53%,2.06,46%,83%,0.3
John Castaneda,21,8,0,4.42,50.0,4.94,53%,1.68,37%,73%,0.1
Gesias Cavalcante,21,10,1,1.98,35.0,3.11,51%,1.25,36%,66%,1.1
Reinier de Ridder,21,4,0,2.47,48.0,2.36,46%,2.56,29%,40%,0.6
Ryan Roberts,21,12,1,0.0,0.0,22.5,45%,0.0,0%,0%,0.0
Yamato Nishikawa,21,3,6,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Brad Tavares,21,12,0,3.42,43.0,3.36,54%,0.73,26%,81%,0.0
Akitoshi Tamura,21,18,2,3.73,43.0,1.94,78%,0.0,0%,20%,1.0
Cole Miller,21,11,0,3.0,33.0,3.88,59%,0.6,36%,38%,1.8
Yaotzin Meza,21,11,0,1.43,41.0,1.62,64%,1.06,20%,18%,1.4
Rocky Long,21,37,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Kelvin Gastelum,21,10,0,3.67,42.0,3.53,57%,1.01,34%,60%,0.1
Alex Da Silva,21,4,0,2.14,46.0,2.52,56%,1.97,43%,76%,0.3
Dequan Townsend,21,12,0,1.23,34.0,3.92,38%,0.0,0%,46%,0.0
Eddy Ellis,21,16,1,3.4,69.0,1.53,68%,4.0,66%,50%,2.0
John Teixeira,21,2,2,3.36,35.0,3.2,63%,1.0,27%,71%,0.7
Yuta Sasaki,21,6,2,2.16,41.0,2.5,50%,3.03,43%,41%,1.2
Yasuhiro Urushitani,21,8,6,3.47,39.0,4.71,65%,0.0,0%,80%,0.0
Mark Weir,21,18,1,1.54,56.0,2.5,38%,0.8,50%,25%,2.4
Ryan Jensen,21,8,0,2.84,39.0,2.99,59%,1.55,50%,31%,1.9
TJ Grant,21,5,0,3.95,54.0,3.21,56%,1.63,43%,36%,0.6
Merab Dvalishvili,21,5,0,4.42,41.0,2.8,54%,5.97,35%,76%,0.3
Volkan Oezdemir,21,8,0,4.99,48.0,4.19,55%,0.5,29%,80%,0.1
Ildemar Alcantara,21,11,0,1.93,38.0,2.63,50%,2.0,68%,81%,0.9
Fabricio Guerreiro,21,5,0,1.87,31.0,2.2,67%,2.0,50%,0%,0.0
Jennifer Maia,21,10,1,4.35,38.0,4.52,55%,0.42,27%,58%,0.1
Zhu Kangjie,21,4,0,2.89,48.0,1.33,70%,0.33,100%,51%,0.0
Kamaru Usman,21,4,0,4.16,51.0,2.67,55%,2.79,44%,89%,0.1
Nam Phan,21,17,0,4.52,37.0,6.55,59%,0.18,18%,60%,0.2
Aziz Khaydarov,21,7,0,2.6,61.0,2.8,61%,0.0,0%,85%,0.0
Chris Tuchscherer,21,4,0,1.35,31.0,3.17,47%,1.19,18%,0%,0.6
Kazuhiro Nakamura,21,13,0,1.56,37.0,1.83,59%,1.73,36%,42%,0.6
Thiago Tavares,21,7,1,2.0,40.0,2.31,62%,3.83,42%,62%,1.5
Dokonjonosuke Mishima,21,7,2,1.06,41.0,1.22,52%,2.47,40%,25%,1.4
Jason Medina,21,15,1,0.0,0.0,0.0,0%,0.0,0%,0%,0.0
Duane Ludwig,21,14,0,4.62,44.0,3.05,57%,0.43,25%,59%,0.1
Sherron Leggett,21,6,0,2.86,51.0,2.08,47%,5.19,80%,33%,0.0
Raulian Paiva,21,5,0,4.14,42.0,5.01,48%,0.65,23%,77%,0.2
Jamie Varner,21,11,1,2.92,34.0,2.55,58%,3.49,53%,66%,0.8
Joaquin Buckley,21,7,0,3.88,36.0,2.93,59%,1.54,45%,72%,0.1
Kevin Croom,21,15,0,2.65,34.0,3.1,41%,0.48,5%,30%,0.5
Tommy Speer,21,7,0,2.56,51.0,5.12,35%,2.02,33%,33%,0.0
Tim Boetsch,21,13,0,2.93,50.0,2.9,57%,1.45,34%,59%,0.8
Tanner Boser,21,10,1,4.7,52.0,2.75,58%,0.0,0%,63%,0.0
